Vendas Tablet Samsung Galaxy;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Marketplace, no contexto do comércio eletrónico, é uma plataforma online onde múltiplos vendedores podem oferecer os seus produtos ou serviços a compradores.;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Ano;Mês;Produto;Canal;Regiões;Unidades_Vendidas;Preço_Unitário;Receita;Sazonalidade;Vendas_Adultos;Vendas_50+;Vendas_Jovens;Vendas_Empresas;Loja;Funcionario
2020;1;Tablet Galaxy S6;Site;Norte;562; 1.754,10 ; 985.804,20 ;;169;56;225;112;Loja B;Bruna
2020;1;Tablet Galaxy S9 FE;Site;Nordeste;339; 2.799,00 ; 948.861,00 ;;102;34;136;68;Loja B;Lucas
2020;1;Tablet Galaxy A7;Marketplace;Centro-Oeste;555; 839,90 ; 466.144,50 ;;167;56;222;111;Loja B;Lucas
2020;1;Tablet Galaxy S9;Marketplace;Sudeste;528; 3.870,50 ; 2.043.624,00 ;;158;53;211;106;Loja C;Jéssica
2020;2;Tablet Galaxy S6;Marketplace;Sul;457; 1.754,10 ; 801.623,70 ;;137;46;183;91;Loja C;Isabela
2020;2;Tablet Galaxy S9 FE;Marketplace;Norte;117; 2.799,00 ; 327.483,00 ;;35;12;47;23;Loja A;Rafael
2020;2;Tablet Galaxy A7;Site;Nordeste;412; 839,90 ; 346.038,80 ;;124;41;165;82;Loja C;Isabela
2020;2;Tablet Galaxy S9;Site;Centro-Oeste;418; 3.870,50 ; 1.617.869,00 ;;125;42;167;84;Loja C;Jéssica
2020;3;Tablet Galaxy S6;Marketplace;Sudeste;621; 1.754,10 ; 1.089.296,10 ;;186;62;248;124;Loja C;Paulo
2020;3;Tablet Galaxy S9 FE;Site;Sul;344; 2.799,00 ; 962.856,00 ;;103;34;138;69;Loja C;Jéssica
2020;3;Tablet Galaxy A7;Site;Norte;864; 839,90 ; 725.673,60 ;;259;86;346;173;Loja A;Rafael
2020;3;Tablet Galaxy S9;Site;Nordeste;628; 3.870,50 ; 2.430.674,00 ;;188;63;251;126;Loja C;Jéssica
2020;4;Tablet Galaxy S6;Site;Centro-Oeste;271; 1.754,10 ; 475.361,10 ;;81;27;108;54;Loja B;Bruna
2020;4;Tablet Galaxy S9 FE;Site;Sudeste;466; 2.799,00 ; 1.304.334,00 ;;140;47;186;93;Loja B;Lucas
2020;4;Tablet Galaxy A7;Site;Sul;325; 839,90 ; 272.967,50 ;;98;33;130;65;Loja C;Paulo
2020;4;Tablet Galaxy S9;Site;Norte;878; 3.870,50 ; 3.398.299,00 ;;263;88;351;176;Loja C;Jéssica
2020;5;Tablet Galaxy S6;Marketplace;Nordeste;204; 1.754,10 ; 357.836,40 ;;61;20;82;41;Loja B;Lucas
2020;5;Tablet Galaxy S9 FE;Site;Centro-Oeste;516; 2.799,00 ; 1.444.284,00 ;;155;52;206;103;Loja B;Marina
2020;5;Tablet Galaxy A7;Site;Sudeste;461; 839,90 ; 387.193,90 ;;138;46;184;92;Loja A;Carlos
2020;5;Tablet Galaxy S9;Site;Sul;153; 3.870,50 ; 592.186,50 ;;46;15;61;31;Loja B;Marina
2020;6;Tablet Galaxy S6;Marketplace;Norte;686; 1.754,10 ; 1.203.312,60 ;;206;69;274;137;Loja B;Marina
2020;6;Tablet Galaxy S9 FE;Marketplace;Nordeste;351; 2.799,00 ; 982.449,00 ;;105;35;140;70;Loja C;Jéssica
2020;6;Tablet Galaxy A7;Site;Centro-Oeste;230; 839,90 ; 193.177,00 ;;69;23;92;46;Loja B;Bruna
2020;6;Tablet Galaxy S9;Site;Sudeste;733; 3.870,50 ; 2.837.076,50 ;;220;73;293;147;Loja A;Fernanda
2020;7;Tablet Galaxy S6;Marketplace;Sul;931; 1.754,10 ; 1.633.067,10 ;;279;93;372;186;Loja B;Lucas
2020;7;Tablet Galaxy S9 FE;Marketplace;Norte;224; 2.799,00 ; 626.976,00 ;;67;22;90;45;Loja C;Isabela
2020;7;Tablet Galaxy A7;Site;Nordeste;767; 839,90 ; 644.203,30 ;;230;77;307;153;Loja C;Paulo
2020;7;Tablet Galaxy S9;Site;Centro-Oeste;587; 3.870,50 ; 2.271.983,50 ;;176;59;235;117;Loja B;Marina
2020;8;Tablet Galaxy S6;Site;Sudeste;611; 1.754,10 ; 1.071.755,10 ;;183;61;244;122;Loja C;Jéssica
2020;8;Tablet Galaxy S9 FE;Site;Sul;462; 2.799,00 ; 1.293.138,00 ;;139;46;185;92;Loja A;Carlos
2020;8;Tablet Galaxy A7;Marketplace;Norte;222; 839,90 ; 186.457,80 ;;67;22;89;44;Loja A;Carlos
2020;8;Tablet Galaxy S9;Site;Nordeste;640; 3.870,50 ; 2.477.120,00 ;;192;64;256;128;Loja B;Marina
2020;9;Tablet Galaxy S6;Marketplace;Centro-Oeste;127; 1.754,10 ; 222.770,70 ;;38;13;51;25;Loja B;Lucas
2020;9;Tablet Galaxy S9 FE;Site;Sudeste;690; 2.799,00 ; 1.931.310,00 ;;207;69;276;138;Loja B;Lucas
